accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.7674234,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:52.802437
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:51.691454
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:50.601964
9.6889702,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:49.442965
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:48.327304
9.7281968,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:10:47.233552
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:46.072771
9.7281968,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:10:44.972202
9.7674234,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:10:43.848926
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:10.005625,2021-11-16,21:10:42.673021
holder
9.7281968,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:10:41.560493
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:40.475573
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:39.355752
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:38.243173
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:37.145890
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:36.043691
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:34.906493
9.6889702,-0.8237586,0.2745862,False,False,False,0:00:00,2021-11-16,21:10:33.744220
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:32.650380
9.845876599999999,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:31.572634
holder
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:11.029225,2021-11-16,21:10:30.465191
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:29.313696
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:10:28.233979
9.80665,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:27.139055
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:26.061580
9.80665,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:24.931137
9.7281968,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:10:23.838349
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:22.724573
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:21.585284
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:20.496674
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:19.424517
9.7281968,-0.784532,0.196133,False,False,False,0:00:00,2021-11-16,21:10:18.331309
holder
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:10.032348,2021-11-16,21:10:17.219990
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:10:16.088954
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:15.002440
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:13.794853
9.7674234,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:12.672734
9.80665,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,21:10:11.582268
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:10.492023
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:09.372232
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:08.275668
9.845876599999999,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:07.183926
9.80665,-0.8629851999999999,0.0392266,False,False,False,0:00:00,2021-11-16,21:10:06.025653
holder
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:10.052743,2021-11-16,21:10:04.840482
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:03.750555
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:10:02.540912
9.7674234,-0.8237586,0.2353596,False,False,False,0:00:00,2021-11-16,21:10:01.408706
9.80665,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:10:00.287402
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:09:59.193335
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:09:58.101994
9.7674234,-0.784532,0.196133,False,False,False,0:00:00,2021-11-16,21:09:57.002996
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:09:55.902025
9.7281968,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:09:54.792163
